"id","target","response","RT"
"5c3388fa01439b0001a0adfe","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",7411
"5c3388fa01439b0001a0adfe","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",4757
"5c3388fa01439b0001a0adfe","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5627
"6101c5bffd584fdda7def135","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",6649
"6101c5bffd584fdda7def135","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",3937
"6101c5bffd584fdda7def135","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",3491
"5feca808ebe59297998b5133","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",8452
"5feca808ebe59297998b5133","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",5182
"5feca808ebe59297998b5133","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5462
"6066736bd2119d9d5f7232eb","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",10143
"6066736bd2119d9d5f7232eb","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",9289
"6066736bd2119d9d5f7232eb","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",7340
"614af89a94339a92bf646754","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",15128
"614af89a94339a92bf646754","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",5266
"614af89a94339a92bf646754","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",7253
"62c63362e7342ad8be294866","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","1;1",8063
"62c63362e7342ad8be294866","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",4217
"62c63362e7342ad8be294866","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",8963
"5d8a797185a7f1001a27c3cf","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",6385
"5d8a797185a7f1001a27c3cf","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",4456
"5d8a797185a7f1001a27c3cf","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",4405
"60e70621e54d41df0e70bfcd","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",8031
"60e70621e54d41df0e70bfcd","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4898
"60e70621e54d41df0e70bfcd","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",7044
"5ce6fbd9a76bf00019cfd467","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",18317
"5ce6fbd9a76bf00019cfd467","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",6201
"5ce6fbd9a76bf00019cfd467","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",2243
"60fd5a99c4e4ead0c9a6fff4","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",6535
"60fd5a99c4e4ead0c9a6fff4","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",3570
"60fd5a99c4e4ead0c9a6fff4","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",3056
"569916e4b0e16500050131b4","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",15508
"569916e4b0e16500050131b4","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",20932
"569916e4b0e16500050131b4","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",10131
"6237de9b86943b2c0aa752aa","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",10646
"6237de9b86943b2c0aa752aa","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",5828
"6237de9b86943b2c0aa752aa","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",3875
"5ae21dfffef71c0001be9caf","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",5659
"5ae21dfffef71c0001be9caf","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",3501
"5ae21dfffef71c0001be9caf","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",6081
"62f7a739f21a1669968bae73","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",13339
"62f7a739f21a1669968bae73","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",9449
"62f7a739f21a1669968bae73","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",11759
"5e4465013f75e52fc82f7096","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",9007
"5e4465013f75e52fc82f7096","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",8091
"5e4465013f75e52fc82f7096","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",6312
"5ddd730ffce606ce31a105d4","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",15713
"5ddd730ffce606ce31a105d4","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",15755
"5ddd730ffce606ce31a105d4","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",24372
"60ff9a73f5eca5e11ae6352c","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",16879
"60ff9a73f5eca5e11ae6352c","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",8702
"60ff9a73f5eca5e11ae6352c","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",7456
"5f4d3cb5fdda0b2c403fb801","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",11701
"5f4d3cb5fdda0b2c403fb801","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",5538
"5f4d3cb5fdda0b2c403fb801","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","1;1",7846
"61351c3a1e3e96156bc86116","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",12833
"61351c3a1e3e96156bc86116","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4",11708
"61351c3a1e3e96156bc86116","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",3798
"61005c6df08e9fc8d3767e69","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",4231
"61005c6df08e9fc8d3767e69","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",6603
"61005c6df08e9fc8d3767e69","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",8323
"55cb79e0fdf99b3c26ae4bca","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",7523
"55cb79e0fdf99b3c26ae4bca","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",6022
"55cb79e0fdf99b3c26ae4bca","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",15205
"631634c04e43861585e07b87","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",10894
"631634c04e43861585e07b87","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",9018
"631634c04e43861585e07b87","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",9262
"5c925b0fb138fe0014e4036b","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",9650
"5c925b0fb138fe0014e4036b","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",4630
"5c925b0fb138fe0014e4036b","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",5338
"630505b4104867e588c31100","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",6169
"630505b4104867e588c31100","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",3988
"630505b4104867e588c31100","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",2901
"614fca8245a450546842e487","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","1;1",17954
"614fca8245a450546842e487","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",8941
"614fca8245a450546842e487","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",11337
"60904b9e21e4f57edd6e3314","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",9580
"60904b9e21e4f57edd6e3314","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5975
"60904b9e21e4f57edd6e3314","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",4719
"62ddd61a0d34cd54cc24da0e","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",7653
"62ddd61a0d34cd54cc24da0e","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",6638
"62ddd61a0d34cd54cc24da0e","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",5624
"63d7dd8c4f918e210bbcf7e5","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2",7434
"63d7dd8c4f918e210bbcf7e5","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",3862
"63d7dd8c4f918e210bbcf7e5","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",7753
"60fdf439667428ddf589f80f","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",5939
"60fdf439667428ddf589f80f","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4284
"60fdf439667428ddf589f80f","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",3845
"6109402937910fba8a1dc1cc","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",15391
"6109402937910fba8a1dc1cc","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",4213
"6109402937910fba8a1dc1cc","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",4434
"5ff0e3319cc6b3ff560a1d4d","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2",7999
"5ff0e3319cc6b3ff560a1d4d","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4",6581
"5ff0e3319cc6b3ff560a1d4d","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",6201
"5d23ac815173fe001528bcd6","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",6152
"5d23ac815173fe001528bcd6","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",5348
"5d23ac815173fe001528bcd6","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4405
"5b0d1b8e444cef0001ca66ac","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",10479
"5b0d1b8e444cef0001ca66ac","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",7247
"5b0d1b8e444cef0001ca66ac","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",6284
"6018afcf89d3371aeeb8a9b6","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",5237
"6018afcf89d3371aeeb8a9b6","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4225
"6018afcf89d3371aeeb8a9b6","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4515
